district,mandal,village,lat_gis,long_gis,gwl,pH,E.C,TDS,CO3,HCO3,Cl,F,NO3 ,SO4,Na,K,Ca,Mg,T.H,SAR,Classification,RSC  meq  / L,Classification.1,year,temp_id
KHAMMAM,Kusumanchi,Kusumanchi,17.2208,79.9583,12.95,8.39,732.0,468.48,40.0,146.603909,100.0,0.89,15.9444,21.0,21.43646958,2.45,56.0,43.758,319.9259868,0.521075516,C2S1,-2.666441556,P.S.,2018,1233.0
KHAMMAM,Mudigonda,Mudigonda,17.1875,80.0986,3.8,8.41,1095.0,700.8,40.0,196.4079567,100.0,0.54,187.3467,13.0,29.72902632,6.63,64.0,77.792,479.8684211,0.590054007,C3S1,-4.869209288,P.S.,2018,1234.0
KHAMMAM,Sathupalli,Prakashnagar,17.1942,80.8942,38.4,8.99,598.0,382.72,80.0,131.5199307,50.0,0.99,8.304375,7.0,13.69103854,9.6,56.0,29.172,259.9506579,0.369201194,C2S1,-0.968614544,P.S.,2018,1235.0
KHAMMAM,Thallada,Anjanapuram,17.2147,80.4625,7.5,8.82,1639.0,1048.96,80.0,302.789973,260.0,1.18,66.435,8.0,185.372498,3.8,24.0,87.516,419.8519737,3.933411351,C3S1,-0.741240014,P.S.,2018,1236.0
KHAMMAM,Thirumalayapalem,Bachode,17.2997,79.9006,5.5,8.5,1240.0,793.6,60.0,237.605193,170.0,0.85,66.435,22.0,99.5734493,7.71,40.0,72.93,399.8766447,2.164974054,C3S1,-2.045429035,P.S.,2018,1237.0
KHAMMAM,Thirumalayapalem,Tirumalayapalem,17.317454,80.050896,5.85,8.16,1349.0,863.36,0.0,216.5764588,150.0,0.49,283.0131,11.0,128.6399407,1.31,80.0,48.62,399.9177632,2.796807966,C3S1,-3.666826087,P.S.,2018,1238.0
KHAMMAM,Vemsur,Vemsur,17.1442,80.805,5.85,8.09,1454.0,930.56,0.0,227.6002864,240.0,0.47,119.583,55.0,95.13144071,5.9,128.0,48.62,519.9177632,1.813965029,C3S1,-5.846349534,P.S.,2018,1239.0
KHAMMAM,Yerrupalem,Banigandlapadu,16.86,80.48,16.35,8.81,1375.0,880.0,80.0,269.8766215,170.0,0.97,88.35855,19.0,42.86001354,1.1,40.0,121.55,599.7944079,0.760892427,C3S1,-4.998355727,P.S.,2018,3088.0
KUMURAM BHEEM,Asifabad,Asifabad,19.359617,79.286065,24.25,8.01,1595.0,1020.8,0.0,350.0,110.0,1.35,6.86495,295.0,225.0,9.0,48.0,53.482,339.9095395,5.306070372,C3S1,0.201809211,P.S.,2018,1243.0
KUMURAM BHEEM,Kagaznagar,Kagaznagar,19.355709,79.496997,6.55,7.65,815.0,521.6,0.0,240.0,60.0,1.14,38.26656,58.0,36.0,2.0,88.0,38.896,379.9342105,0.803009095,C3S1,-2.798684211,P.S.,2018,1250.0
